user_id,signup_date,first_order_date,city,acquisition_channel,initial_promo_received,is_uber_cross_user
U000051,2026-01-14,2026-02-21,San Francisco,Referral,False,False
U000052,2025-08-21,2025-08-24,Phoenix,Organic,False,True
U000053,2025-10-15,2025-11-17,Phoenix,Uber Cross-App,False,True
U000054,2025-08-23,2025-09-14,Los Angeles,Local Campaign,False,False
U000055,2025-12-25,2025-12-26,Phoenix,Local Campaign,True,False
U000056,2025-09-27,2025-10-05,Los Angeles,Local Campaign,True,True
U000057,2025-07-29,2025-08-06,Seattle,Organic,True,False
U000058,2026-02-11,2026-02-18,Seattle,Paid Social,True,False
U000059,2025-08-06,2025-08-17,Los Angeles,Uber Cross-App,True,True
U000060,2025-10-23,2025-11-01,Seattle,Local Campaign,True,False
U000061,2026-02-01,2026-02-19,San Francisco,Organic,False,False
U000062,2025-08-14,2025-08-22,Los Angeles,Paid Social,True,False
U000063,2025-08-14,2025-08-23,Los Angeles,Uber Cross-App,True,False
U000064,2025-08-08,2025-09-07,Seattle,Paid Social,False,True
U000065,2025-07-13,2025-07-26,San Francisco,Uber Cross-App,True,True
U000066,2025-12-10,2025-12-15,San Francisco,Paid Social,True,True
U000067,2026-02-07,2026-03-15,Los Angeles,Organic,False,False
U000068,2025-07-17,2025-07-28,Phoenix,Uber Cross-App,True,True
U000069,2026-03-27,2026-03-31,San Francisco,Organic,False,True
U000070,2025-08-02,2025-08-07,San Francisco,Uber Cross-App,True,True
U000071,2026-02-11,2026-02-23,Seattle,Referral,True,True
U000072,2025-09-13,2025-10-14,Los Angeles,Local Campaign,False,False
U000073,2026-02-21,2026-02-28,San Diego,Uber Cross-App,True,False
U000074,2026-03-14,2026-03-31,Phoenix,Organic,False,False
U000075,2026-03-28,2026-03-31,Los Angeles,Paid Social,True,False
U000076,2025-09-17,2025-10-13,Phoenix,Referral,False,False
U000077,2025-08-15,2025-08-29,San Diego,Uber Cross-App,True,True
U000078,2025-12-13,2025-12-21,Los Angeles,Paid Social,True,False
U000079,2025-09-02,2025-09-14,San Francisco,Referral,True,False
U000080,2025-12-13,2025-12-23,Los Angeles,Uber Cross-App,True,False
U000081,2025-09-26,2025-10-04,Seattle,Uber Cross-App,True,True
U000082,2025-11-25,2025-11-25,Phoenix,Paid Social,True,False
U000083,2025-09-15,2025-09-18,Los Angeles,Referral,True,True
U000084,2025-11-20,2025-11-21,Los Angeles,Local Campaign,True,False
U000085,2025-07-09,2025-07-14,San Francisco,Local Campaign,True,False
U000086,2025-09-22,2025-09-28,San Francisco,Referral,False,False
U000087,2025-11-04,2025-12-14,San Francisco,Uber Cross-App,False,True
U000088,2025-07-25,2025-09-07,Los Angeles,Uber Cross-App,False,True
U000089,2025-12-30,2026-01-30,Los Angeles,Organic,False,False
U000090,2025-08-28,2025-08-30,San Francisco,Uber Cross-App,True,False
U000091,2026-01-29,2026-02-12,Los Angeles,Paid Social,True,True
U000092,2025-11-29,2025-12-30,Seattle,Uber Cross-App,False,False
U000093,2026-03-19,2026-03-25,Los Angeles,Referral,True,False
U000094,2025-08-09,2025-08-13,San Francisco,Local Campaign,True,False
U000095,2025-07-14,2025-07-27,Los Angeles,Uber Cross-App,False,True
U000096,2025-10-19,2025-11-01,Los Angeles,Paid Social,True,True
U000097,2025-07-28,2025-07-29,Los Angeles,Organic,True,False
U000098,2025-07-10,2025-07-12,Los Angeles,Organic,False,False
U000099,2025-11-10,2025-11-29,Los Angeles,Organic,False,True
U000100,2025-10-15,2025-10-19,Phoenix,Referral,True,False
U000101,2026-01-23,2026-01-28,San Francisco,Uber Cross-App,False,True
U000102,2025-07-20,2025-07-29,Los Angeles,Referral,True,False
U000103,2025-12-26,2026-01-08,Los Angeles,Organic,False,False
U000104,2026-02-02,2026-03-02,Los Angeles,Organic,False,True
U000105,2025-11-28,2025-12-11,Los Angeles,Organic,True,False
U000106,2025-11-06,2025-11-12,San Diego,Referral,True,False
U000107,2025-10-27,2025-11-05,Los Angeles,Local Campaign,True,False
U000108,2025-09-14,2025-10-10,Los Angeles,Paid Social,False,False
U000109,2025-08-22,2025-08-26,San Diego,Uber Cross-App,True,True
U000110,2025-12-08,2025-12-16,Los Angeles,Paid Social,True,False
U000111,2025-10-06,2025-10-18,San Diego,Paid Social,True,True
U000112,2025-11-06,2025-11-29,Phoenix,Organic,False,False
U000113,2025-11-20,2025-11-24,San Francisco,Referral,True,False
U000114,2025-10-10,2025-11-04,San Francisco,Uber Cross-App,False,True
U000115,2025-09-23,2025-10-18,Los Angeles,Uber Cross-App,False,True
U000116,2025-11-10,2025-12-13,Seattle,Local Campaign,False,True
U000117,2025-07-21,2025-07-27,Los Angeles,Organic,True,False
U000118,2025-08-20,2025-09-03,Seattle,Paid Social,False,False
U000119,2025-08-21,2025-09-03,Los Angeles,Paid Social,True,False
U000120,2025-11-23,2025-11-24,Seattle,Organic,True,False
U000121,2025-09-12,2025-09-18,Los Angeles,Paid Social,True,False
U000122,2025-08-05,2025-08-08,San Diego,Paid Social,True,False
U000123,2025-11-18,2025-11-24,Seattle,Uber Cross-App,True,True
U000124,2025-10-29,2025-12-09,San Francisco,Uber Cross-App,False,True
U000125,2025-07-19,2025-08-23,Los Angeles,Paid Social,False,False
U000126,2026-02-27,2026-03-03,San Francisco,Paid Social,True,False
U000127,2025-11-20,2025-11-22,San Diego,Local Campaign,True,True
U000128,2026-03-11,2026-03-19,San Francisco,Referral,True,False
U000129,2025-12-14,2025-12-22,Los Angeles,Uber Cross-App,True,True
U000130,2025-08-11,2025-08-17,Phoenix,Paid Social,True,False
U000131,2025-09-08,2025-10-18,Los Angeles,Uber Cross-App,False,True
U000132,2025-12-07,2025-12-27,Los Angeles,Local Campaign,False,True
U000133,2025-11-07,2025-11-13,San Francisco,Uber Cross-App,True,True
U000134,2025-11-27,2025-12-08,Los Angeles,Local Campaign,True,False
U000135,2025-10-14,2025-11-12,Phoenix,Uber Cross-App,False,True
U000136,2025-11-21,2025-12-20,San Diego,Organic,False,False
U000137,2025-10-29,2025-11-27,Los Angeles,Paid Social,False,False
U000138,2026-03-29,2026-03-31,San Francisco,Paid Social,False,True
U000139,2025-09-04,2025-09-12,San Diego,Paid Social,True,False
U000140,2025-12-01,2025-12-04,Phoenix,Uber Cross-App,True,True
U000141,2026-03-01,2026-03-31,Los Angeles,Uber Cross-App,False,True
U000142,2025-12-05,2025-12-18,Los Angeles,Organic,False,False
U000143,2025-09-04,2025-09-14,San Diego,Referral,True,False
U000144,2026-03-10,2026-03-31,Los Angeles,Local Campaign,False,False
U000145,2025-07-25,2025-08-06,Los Angeles,Uber Cross-App,False,True
U000146,2025-07-12,2025-07-23,Los Angeles,Paid Social,True,False
U000147,2025-08-12,2025-08-25,San Francisco,Organic,True,False
U000148,2025-11-07,2025-11-20,Los Angeles,Referral,True,True
U000149,2025-10-07,2025-10-27,Los Angeles,Uber Cross-App,False,True
U000150,2026-03-17,2026-03-20,Los Angeles,Paid Social,True,True
U000151,2025-11-01,2025-11-06,Seattle,Uber Cross-App,True,True
U000152,2025-07-07,2025-07-17,Los Angeles,Local Campaign,True,True
U000153,2025-08-31,2025-09-26,Seattle,Uber Cross-App,False,True
U000154,2025-09-03,2025-09-15,San Diego,Uber Cross-App,False,True
U000155,2025-12-11,2025-12-27,Los Angeles,Local Campaign,False,False
U000156,2026-01-12,2026-02-14,San Francisco,Organic,False,True
U000157,2025-08-11,2025-08-15,San Diego,Organic,True,False
U000158,2025-11-07,2025-11-18,Los Angeles,Paid Social,True,False
U000159,2026-01-19,2026-01-25,Los Angeles,Local Campaign,True,False
U000160,2025-12-20,2026-01-07,Seattle,Uber Cross-App,False,True
U000161,2025-09-25,2025-10-05,Phoenix,Organic,True,True
U000162,2026-02-17,2026-02-26,Seattle,Paid Social,True,False
U000163,2025-08-20,2025-10-01,Phoenix,Local Campaign,False,False
U000164,2025-10-19,2025-10-30,San Francisco,Uber Cross-App,True,True
U000165,2025-08-18,2025-09-22,San Diego,Referral,False,False
U000166,2026-03-23,2026-03-31,San Diego,Uber Cross-App,False,True
U000167,2026-02-11,2026-02-21,Los Angeles,Paid Social,True,False
U000168,2025-11-01,2025-11-10,Los Angeles,Organic,True,False
U000169,2025-12-21,2025-12-21,Phoenix,Referral,True,True
U000170,2026-02-18,2026-03-07,Los Angeles,Local Campaign,False,False
U000171,2025-11-28,2026-01-10,Los Angeles,Local Campaign,False,False
U000172,2026-03-26,2026-03-27,Los Angeles,Uber Cross-App,True,True
U000173,2025-09-26,2025-11-08,San Diego,Paid Social,False,False
U000174,2025-07-19,2025-08-10,San Francisco,Uber Cross-App,False,True
U000175,2026-01-02,2026-01-17,Seattle,Uber Cross-App,False,True
U000176,2025-07-10,2025-07-14,San Diego,Local Campaign,True,True
U000177,2025-09-24,2025-10-03,San Francisco,Referral,True,False
U000178,2025-07-20,2025-07-30,Los Angeles,Uber Cross-App,True,False
U000179,2025-10-19,2025-10-22,Seattle,Organic,False,True
U000180,2026-01-18,2026-01-23,Seattle,Uber Cross-App,True,True
U000181,2026-02-06,2026-02-19,Los Angeles,Referral,True,False
U000182,2025-07-24,2025-08-26,Los Angeles,Paid Social,False,True
U000183,2026-01-27,2026-02-01,San Francisco,Paid Social,True,False
U000184,2025-07-19,2025-07-31,San Diego,Local Campaign,True,False
U000185,2026-03-08,2026-03-19,Los Angeles,Organic,True,True
U000186,2026-03-17,2026-03-31,Phoenix,Local Campaign,False,False
U000187,2025-11-14,2025-12-09,Los Angeles,Organic,False,False
U000188,2025-10-21,2025-11-03,Los Angeles,Referral,True,True
U000189,2025-08-04,2025-08-17,Los Angeles,Organic,True,False
U000190,2026-01-08,2026-01-12,Los Angeles,Organic,True,False
U000191,2025-10-08,2025-10-13,San Francisco,Paid Social,False,False
U000192,2025-08-05,2025-08-09,Los Angeles,Paid Social,True,False
U000193,2026-02-05,2026-02-18,Los Angeles,Referral,True,True
U000194,2025-08-13,2025-08-21,Los Angeles,Uber Cross-App,True,False
U000195,2026-01-12,2026-02-13,Los Angeles,Paid Social,False,True
U000196,2025-11-20,2025-11-26,Los Angeles,Paid Social,False,False
U000197,2025-07-21,2025-08-07,Seattle,Uber Cross-App,False,True
U000198,2025-12-08,2025-12-09,San Diego,Referral,True,False
U000199,2025-11-29,2025-12-11,Los Angeles,Paid Social,True,False
U000200,2025-10-06,2025-10-11,Los Angeles,Organic,False,False
U000201,2025-08-26,2025-08-27,Seattle,Organic,True,False
U000202,2025-08-28,2025-09-06,Seattle,Organic,False,False
U000203,2025-12-01,2025-12-15,San Diego,Organic,True,False
U000204,2025-10-24,2025-11-04,San Diego,Paid Social,True,False
U000205,2025-09-04,2025-09-28,Phoenix,Uber Cross-App,False,True
U000206,2025-12-14,2025-12-17,Los Angeles,Referral,True,False
U000207,2026-03-25,2026-03-31,Los Angeles,Paid Social,True,True
U000208,2025-08-16,2025-08-30,Los Angeles,Uber Cross-App,True,True
U000209,2026-03-20,2026-03-22,San Francisco,Paid Social,True,False
U000210,2025-07-08,2025-07-12,Seattle,Paid Social,True,False
U000211,2025-08-01,2025-08-09,Seattle,Referral,False,False
U000212,2025-07-21,2025-08-03,San Francisco,Local Campaign,True,False
U000213,2025-07-25,2025-07-27,Los Angeles,Local Campaign,True,True
U000214,2026-01-05,2026-01-16,San Diego,Local Campaign,True,False
U000215,2026-01-29,2026-02-21,Seattle,Organic,False,False
U000216,2026-03-05,2026-03-14,Seattle,Organic,True,False
U000217,2025-09-13,2025-09-21,Los Angeles,Paid Social,True,False
U000218,2026-01-28,2026-02-12,San Francisco,Uber Cross-App,False,False
U000219,2025-11-25,2025-12-06,Los Angeles,Paid Social,True,True
U000220,2025-11-20,2025-12-04,Los Angeles,Paid Social,True,False
U000221,2025-08-08,2025-08-16,San Diego,Organic,False,False
U000222,2025-09-29,2025-11-01,San Francisco,Referral,False,False
U000223,2025-07-30,2025-08-12,Los Angeles,Local Campaign,False,False
U000224,2025-11-27,2025-12-05,Los Angeles,Organic,True,False
U000225,2026-01-22,2026-01-30,Phoenix,Uber Cross-App,False,True
U000226,2025-12-11,2026-01-19,Seattle,Referral,False,True
U000227,2026-02-12,2026-02-20,Los Angeles,Organic,True,False
U000228,2025-11-02,2025-12-17,San Diego,Paid Social,False,False
U000229,2025-12-05,2025-12-16,Phoenix,Uber Cross-App,False,False
U000230,2025-12-19,2026-01-20,Phoenix,Local Campaign,False,True
U000231,2025-09-03,2025-09-10,San Francisco,Paid Social,False,True
U000232,2025-11-24,2025-12-03,Los Angeles,Referral,True,False
U000233,2025-12-26,2025-12-29,Los Angeles,Local Campaign,True,False
U000234,2026-01-10,2026-02-02,Los Angeles,Paid Social,False,False
U000235,2025-11-30,2025-12-17,San Diego,Organic,False,True
U000236,2025-10-01,2025-10-13,Los Angeles,Paid Social,True,False
U000237,2025-11-18,2025-11-30,Los Angeles,Uber Cross-App,True,True
U000238,2025-09-28,2025-10-04,Los Angeles,Paid Social,True,True
U000239,2026-03-22,2026-03-29,San Francisco,Organic,True,False
U000240,2025-08-10,2025-08-16,San Francisco,Paid Social,True,False
U000241,2025-07-01,2025-07-08,San Diego,Local Campaign,True,False
U000242,2026-02-25,2026-03-29,Los Angeles,Local Campaign,False,False
U000243,2025-12-05,2025-12-17,Phoenix,Uber Cross-App,True,True
U000244,2025-12-08,2025-12-22,Los Angeles,Local Campaign,True,False
U000245,2026-02-28,2026-03-14,Los Angeles,Organic,False,False
U000246,2026-03-23,2026-03-31,Los Angeles,Uber Cross-App,False,False
U000247,2025-12-02,2025-12-03,Phoenix,Uber Cross-App,False,False
U000248,2026-03-25,2026-03-31,Seattle,Local Campaign,False,False
U000249,2025-11-04,2025-12-04,Los Angeles,Referral,False,False
U000250,2025-10-07,2025-10-19,Seattle,Paid Social,True,False
U000251,2026-01-11,2026-01-22,Los Angeles,Uber Cross-App,True,False
U000252,2025-10-26,2025-11-30,San Diego,Paid Social,False,True
U000253,2025-08-25,2025-08-25,San Francisco,Organic,True,False
U000254,2025-11-03,2025-11-13,Los Angeles,Paid Social,True,False
U000255,2026-01-20,2026-01-25,San Francisco,Uber Cross-App,True,True
U000256,2025-09-05,2025-09-15,San Diego,Paid Social,True,True
U000257,2025-08-20,2025-08-25,Los Angeles,Paid Social,False,False
U000258,2025-12-17,2026-01-22,Los Angeles,Referral,False,True
U000259,2025-08-28,2025-09-13,Los Angeles,Local Campaign,False,True
U000260,2025-12-09,2025-12-21,Los Angeles,Organic,True,False
U000261,2025-08-20,2025-08-29,Seattle,Organic,True,False
U000262,2025-09-30,2025-10-23,Los Angeles,Referral,False,False
U000263,2025-10-07,2025-10-18,Los Angeles,Local Campaign,True,False
U000264,2025-07-08,2025-07-19,Los Angeles,Uber Cross-App,True,False
U000265,2026-03-24,2026-03-29,San Diego,Local Campaign,True,False
U000266,2025-12-31,2026-01-19,Seattle,Paid Social,False,True
U000267,2025-10-16,2025-11-28,Los Angeles,Local Campaign,False,False
U000268,2026-02-01,2026-02-07,Los Angeles,Referral,True,False
U000269,2026-02-04,2026-02-21,San Francisco,Organic,False,False
U000270,2025-10-24,2025-12-07,San Francisco,Uber Cross-App,False,True
U000271,2025-07-13,2025-07-27,Seattle,Local Campaign,True,False
U000272,2025-12-18,2025-12-20,Phoenix,Paid Social,True,False
U000273,2025-11-29,2025-12-01,Los Angeles,Referral,True,False
U000274,2025-10-21,2025-11-29,Phoenix,Paid Social,False,False
U000275,2025-08-06,2025-08-18,Los Angeles,Uber Cross-App,False,False
U000276,2026-01-10,2026-02-18,San Diego,Uber Cross-App,False,False
U000277,2025-09-13,2025-09-15,San Diego,Referral,True,True
U000278,2025-09-21,2025-10-28,San Francisco,Uber Cross-App,False,True
U000279,2026-01-04,2026-01-05,Los Angeles,Organic,False,False
U000280,2026-01-31,2026-02-13,Los Angeles,Referral,True,False
U000281,2026-02-18,2026-03-03,Los Angeles,Paid Social,True,False
U000282,2025-12-30,2026-01-21,San Francisco,Organic,False,True
U000283,2025-07-14,2025-08-10,Los Angeles,Local Campaign,False,False
U000284,2025-08-28,2025-09-03,Los Angeles,Referral,True,True
U000285,2025-11-04,2025-11-14,Los Angeles,Paid Social,False,False
U000286,2026-03-31,2026-03-31,Los Angeles,Paid Social,True,False
U000287,2025-12-04,2025-12-15,Los Angeles,Local Campaign,True,True
U000288,2025-10-08,2025-10-25,Los Angeles,Referral,False,False
U000289,2026-01-02,2026-01-08,Los Angeles,Local Campaign,True,False
U000290,2025-07-23,2025-08-12,Los Angeles,Uber Cross-App,False,True
U000291,2025-10-02,2025-10-10,San Francisco,Local Campaign,False,False
U000292,2025-07-28,2025-08-05,San Diego,Uber Cross-App,True,True
U000293,2025-07-13,2025-07-30,Los Angeles,Uber Cross-App,False,True
U000294,2025-10-08,2025-10-20,Los Angeles,Uber Cross-App,True,False
U000295,2025-07-03,2025-07-30,Los Angeles,Referral,False,True
U000296,2025-07-21,2025-08-01,Los Angeles,Uber Cross-App,True,True
U000297,2025-08-22,2025-08-31,San Francisco,Uber Cross-App,False,True
U000298,2025-11-15,2025-11-17,Los Angeles,Referral,True,True
U000299,2025-12-18,2026-01-11,Los Angeles,Organic,False,True
U000300,2025-12-22,2025-12-22,San Francisco,Uber Cross-App,True,False
U000301,2026-02-07,2026-02-15,Phoenix,Paid Social,True,False
U000302,2025-07-07,2025-07-10,Los Angeles,Paid Social,True,False
U000303,2026-02-13,2026-02-21,San Francisco,Uber Cross-App,False,True
U000304,2025-08-28,2025-08-31,Seattle,Uber Cross-App,True,True
U000305,2025-11-01,2025-11-23,San Diego,Local Campaign,False,False
U000306,2025-11-20,2025-12-01,San Francisco,Local Campaign,True,False
U000307,2025-07-25,2025-08-03,Los Angeles,Uber Cross-App,False,False
U000308,2025-08-18,2025-09-24,Los Angeles,Local Campaign,False,False
U000309,2026-02-26,2026-03-02,Los Angeles,Local Campaign,False,True
U000310,2026-02-11,2026-02-25,Los Angeles,Paid Social,True,False
U000311,2026-01-26,2026-02-08,Phoenix,Local Campaign,False,False
U000312,2026-02-20,2026-03-03,Los Angeles,Paid Social,True,False
U000313,2025-09-08,2025-10-18,Phoenix,Uber Cross-App,False,True
U000314,2025-11-16,2025-12-22,Phoenix,Local Campaign,False,False
U000315,2026-03-17,2026-03-28,San Francisco,Paid Social,True,False
U000316,2026-03-04,2026-03-11,Phoenix,Local Campaign,False,False
U000317,2025-08-08,2025-08-08,Los Angeles,Uber Cross-App,True,True
U000318,2025-09-12,2025-09-15,San Francisco,Uber Cross-App,True,True
U000319,2026-03-09,2026-03-16,Phoenix,Referral,True,True
U000320,2025-11-18,2025-11-30,San Diego,Paid Social,True,True
U000321,2025-12-07,2025-12-31,Los Angeles,Referral,False,False
U000322,2025-10-21,2025-11-28,Los Angeles,Referral,False,False
U000323,2025-09-29,2025-09-30,Los Angeles,Uber Cross-App,True,True
U000324,2026-03-23,2026-03-31,Los Angeles,Paid Social,False,True
U000325,2026-02-06,2026-02-09,Los Angeles,Local Campaign,True,False
U000326,2025-10-17,2025-10-23,Los Angeles,Organic,False,False
U000327,2025-09-22,2025-10-06,Phoenix,Local Campaign,True,False
U000328,2025-08-15,2025-08-26,Los Angeles,Referral,True,False
U000329,2025-08-09,2025-09-13,Los Angeles,Referral,False,False
U000330,2025-12-28,2026-01-04,San Diego,Uber Cross-App,True,False
U000331,2026-03-06,2026-03-11,Phoenix,Organic,False,False
U000332,2025-07-03,2025-07-05,Phoenix,Referral,True,False
U000333,2025-12-16,2025-12-20,Los Angeles,Referral,False,False
U000334,2026-01-22,2026-02-26,San Francisco,Local Campaign,False,False
U000335,2025-08-28,2025-09-27,San Diego,Organic,False,False
U000336,2025-07-10,2025-07-15,Los Angeles,Referral,True,False
U000337,2025-10-10,2025-10-10,San Francisco,Referral,False,False
U000338,2026-03-28,2026-03-31,Los Angeles,Local Campaign,True,True
U000339,2025-09-19,2025-10-22,Phoenix,Uber Cross-App,False,False
U000340,2025-07-03,2025-07-03,Los Angeles,Referral,True,False
U000341,2026-03-28,2026-03-31,San Diego,Uber Cross-App,False,True
U000342,2025-09-16,2025-09-25,San Diego,Organic,True,False
U000343,2025-12-15,2025-12-17,Seattle,Paid Social,True,False
U000344,2025-11-24,2025-12-05,Los Angeles,Organic,True,False
U000345,2025-07-02,2025-07-23,Seattle,Uber Cross-App,False,True
U000346,2026-03-29,2026-03-31,San Diego,Referral,True,False
U000347,2025-11-03,2025-11-07,Los Angeles,Uber Cross-App,True,True
U000348,2025-09-07,2025-09-12,Los Angeles,Uber Cross-App,True,False
U000349,2025-08-16,2025-08-22,Los Angeles,Paid Social,True,False
U000350,2025-11-05,2025-12-03,San Francisco,Uber Cross-App,False,True
U000351,2026-02-03,2026-02-16,Los Angeles,Referral,True,False
U000352,2025-09-20,2025-09-29,Los Angeles,Local Campaign,True,False
U000353,2025-10-06,2025-10-14,Los Angeles,Organic,True,False
U000354,2026-02-04,2026-03-04,San Francisco,Organic,False,True
U000355,2025-11-11,2025-11-25,Los Angeles,Organic,False,False
U000356,2025-08-28,2025-08-29,Los Angeles,Uber Cross-App,False,True
U000357,2025-11-27,2025-11-29,Phoenix,Paid Social,True,False
U000358,2025-09-06,2025-09-12,Los Angeles,Organic,False,False
U000359,2025-10-14,2025-10-19,Los Angeles,Local Campaign,True,False
U000360,2025-11-04,2025-11-12,Los Angeles,Paid Social,True,True
U000361,2026-03-05,2026-03-31,Los Angeles,Organic,False,True
U000362,2026-03-02,2026-03-24,San Francisco,Referral,False,True
U000363,2026-01-19,2026-01-31,Phoenix,Paid Social,True,True
U000364,2025-11-15,2025-12-02,Los Angeles,Organic,False,False
U000365,2025-09-29,2025-11-13,Seattle,Local Campaign,False,True
U000366,2025-12-29,2026-01-02,San Diego,Organic,True,False
U000367,2026-01-04,2026-02-10,San Diego,Organic,False,True
U000368,2025-09-01,2025-09-22,Los Angeles,Uber Cross-App,False,True
U000369,2025-09-26,2025-09-29,San Francisco,Referral,True,False
U000370,2025-10-10,2025-10-15,Los Angeles,Uber Cross-App,True,True
U000371,2025-10-17,2025-11-05,San Francisco,Uber Cross-App,False,False
U000372,2026-02-19,2026-03-13,Seattle,Paid Social,False,False
U000373,2025-08-01,2025-09-01,San Diego,Paid Social,False,False
U000374,2026-01-29,2026-02-10,San Francisco,Organic,True,True
U000375,2025-09-25,2025-09-25,San Francisco,Organic,True,False
U000376,2026-02-24,2026-02-28,Los Angeles,Organic,True,False
U000377,2026-03-04,2026-03-11,San Diego,Organic,True,False
U000378,2026-01-25,2026-02-07,San Francisco,Uber Cross-App,True,True
U000379,2025-12-09,2025-12-17,Seattle,Referral,True,True
U000380,2025-10-26,2025-11-09,Los Angeles,Paid Social,True,False
U000381,2025-07-19,2025-07-21,San Francisco,Local Campaign,True,False
U000382,2026-03-03,2026-03-03,San Diego,Paid Social,True,False
U000383,2025-11-05,2025-11-12,San Francisco,Paid Social,True,True
U000384,2025-10-11,2025-10-11,Los Angeles,Referral,False,True
U000385,2025-10-25,2025-11-04,San Diego,Paid Social,True,False
U000386,2025-10-01,2025-10-22,Los Angeles,Paid Social,False,False
U000387,2025-11-24,2025-11-25,Los Angeles,Referral,False,False
U000388,2025-11-23,2025-11-25,Los Angeles,Paid Social,True,False
U000389,2026-02-05,2026-02-08,Los Angeles,Paid Social,True,True
U000390,2026-02-06,2026-03-19,Los Angeles,Referral,False,False
U000391,2025-08-31,2025-09-03,Los Angeles,Referral,True,True
U000392,2026-02-20,2026-02-21,San Diego,Uber Cross-App,False,True
U000393,2026-01-23,2026-02-16,Los Angeles,Paid Social,False,False
U000394,2026-01-25,2026-02-28,Los Angeles,Organic,False,False
U000395,2026-02-05,2026-02-10,San Francisco,Uber Cross-App,True,True
U000396,2026-03-02,2026-03-23,Phoenix,Uber Cross-App,False,True
U000397,2025-10-12,2025-11-20,Los Angeles,Organic,False,False
U000398,2025-09-19,2025-10-14,Seattle,Local Campaign,False,False
U000399,2025-08-31,2025-10-07,Los Angeles,Local Campaign,False,False
U000400,2025-12-03,2025-12-07,San Francisco,Uber Cross-App,True,True
U000401,2026-01-23,2026-01-26,Los Angeles,Organic,True,False
U000402,2025-12-08,2026-01-04,Phoenix,Uber Cross-App,False,False
U000403,2025-09-17,2025-09-21,Los Angeles,Referral,True,False
